source,target,edge_type,recipe_or_change,evidence,confidence
team_a_current:EXP-025,submission:submission_STRONGEST_CURRENT.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-CAP=.10, S1-UNC=.20, S1-DIST=.25, SEQ-01=.075, SEQ-C289-S43=.075, SEQ-C289-S44=.075, ETX-01-S42-DCW=.075, ETX-01-S43-DCW=.075, ETX-01-S44-DCW=.075; shift to level 2.3293 then clip","[""experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/docs/experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/MANIFEST.sha256"",""submission artifact""]",strong_repository_link
team_a_current:EXP-025,team_a_current:EXP-026,baseline_to_change,average 2/3 independently seeded TCN encoders,experiments/team_a_current/exp_026_seq_seed_averaging.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-025,team_a_current:EXP-027,baseline_to_change,audit full-depth test inference and introduce clip289 diagnostic candidate,experiments/team_a_current/exp_027_depth_support.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-026,submission:submission_SEQAVG3_mix.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-E10=0.10, S1-E02=0.15, S1-E03a=0.10, S1-DIST=0.20, SEQ-AVG3=0.45; full-depth test policy","[""experiments/exp_027_depth_support.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
team_a_current:EXP-026,submission:submission_SEQAVG3_mix.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_026_seq_seed_averaging.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-026,team_a_current:EXP-027,baseline_to_change,audit full-depth test inference and introduce clip289 diagnostic candidate,experiments/team_a_current/exp_027_depth_support.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-027,submission:submission_SEQAVG3_mix.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-E10=0.10, S1-E02=0.15, S1-E03a=0.10, S1-DIST=0.20, SEQ-AVG3=0.45; full-depth test policy","[""experiments/exp_027_depth_support.md"",""git HEAD:experiments/submissions.csv"",""submission artifact""]",strong_repository_link
team_a_current:EXP-027,submission:submission_SEQAVG3_mix.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_027_depth_support.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-027,submission:submission_STRONGEST_CURRENT.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-CAP=.10, S1-UNC=.20, S1-DIST=.25, SEQ-01=.075, SEQ-C289-S43=.075, SEQ-C289-S44=.075, ETX-01-S42-DCW=.075, ETX-01-S43-DCW=.075, ETX-01-S44-DCW=.075; shift to level 2.3293 then clip","[""experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/docs/experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/MANIFEST.sha256"",""submission artifact""]",strong_repository_link
team_a_current:EXP-030,team_a_current:EXP-030B,seed_rerun,rerun D3A at seed43 on fold 2025-09-18,experiments/team_a_current/exp_030b_seq_d3a_seed43.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-030,team_a_current:EXP-030C,multiseed_rerun,complete 3-seed x 4-fold paired verification of D3A,experiments/team_a_current/exp_030c_seq_d3a_multiseed.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-032,team_a_current:EXP-032-MANIFEST,baseline_to_change,preregister S04 pilot; later append result summaries,experiments/team_a_current/EXP_032_S04_conditional_fresh_seq.md,design evidence only; results duplicate primary reports
team_a_current:EXP-032,team_a_current:EXP-032-MANIFEST,duplicate_document_for_same_experiment,preregister S04 pilot; later append result summaries,experiments/team_a_current/EXP_032_S04_conditional_fresh_seq.md,design evidence only; results duplicate primary reports
team_a_current:EXP-032B,team_a_current:EXP-032-MANIFEST,baseline_to_change,preregister S04 pilot; later append result summaries,experiments/team_a_current/EXP_032_S04_conditional_fresh_seq.md,design evidence only; results duplicate primary reports
team_a_current:EXP-035,submission:submission_SEQAVG3_clip289_mix.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_035_mix9_seq_slot.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-035,submission:submission_STRONGEST_CURRENT.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-CAP=.10, S1-UNC=.20, S1-DIST=.25, SEQ-01=.075, SEQ-C289-S43=.075, SEQ-C289-S44=.075, ETX-01-S42-DCW=.075, ETX-01-S43-DCW=.075, ETX-01-S44-DCW=.075; shift to level 2.3293 then clip","[""experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/docs/experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/MANIFEST.sha256"",""submission artifact""]",strong_repository_link
team_a_current:EXP-036,submission:not built,produced_or_described_submission,unknown,experiments/team_a_current/exp_036_etx_sparse_event_transformer.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-036,submission:submission_STRONGEST_CURRENT.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-CAP=.10, S1-UNC=.20, S1-DIST=.25, SEQ-01=.075, SEQ-C289-S43=.075, SEQ-C289-S44=.075, ETX-01-S42-DCW=.075, ETX-01-S43-DCW=.075, ETX-01-S44-DCW=.075; shift to level 2.3293 then clip","[""experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/docs/experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/MANIFEST.sha256"",""submission artifact""]",strong_repository_link
team_a_current:EXP-037,submission:submission_STRONGEST_CURRENT.csv,component_or_lineage_to_confirmed_submission,"log-space blend S1-CAP=.10, S1-UNC=.20, S1-DIST=.25, SEQ-01=.075, SEQ-C289-S43=.075, SEQ-C289-S44=.075, ETX-01-S42-DCW=.075, ETX-01-S43-DCW=.075, ETX-01-S44-DCW=.075; shift to level 2.3293 then clip","[""experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/docs/experiments/exp_037_etx_avg3_strongest.md"",""пайплайн сокомандника/friend_original/submission_STRONGEST_CURRENT/MANIFEST.sha256"",""submission artifact""]",strong_repository_link
team_a_current:EXP-037,submission:submission_STRONGEST_CURRENT.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_037_etx_avg3_strongest.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-039,baseline_to_change,Block4 SAF sequence component/integration,experiments/team_a_current/exp_039_block4_saf.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-040,baseline_to_change,fresh-contrast mixture-of-experts residual correction,experiments/team_a_current/exp_040_fresh_contrast_moe.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-041,baseline_to_change,Ridge standalone residual model and two fixed blends,experiments/team_a_current/exp_041_ridge15.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-042,baseline_to_change,two-dimensional zero/nonbuyer shrink postprocessing,experiments/team_a_current/exp_042_zero2d_shrink.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-046,baseline_to_change,refresh tabular component across round/seed/UNC-CAP variants,experiments/team_a_current/exp_046_tabular_backbone_refresh.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-047,baseline_to_change,fit BG/NBD daily residual and nested LOFO blend,experiments/team_a_current/exp_047_btyd_day_bgnbd_residual.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-051,baseline_to_change,stabilize BG/NBD optimization and use fixed 0.05 residual blend,experiments/team_a_current/exp_051_btyd_stable_production.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-052,baseline_to_change,channel contribution/Shapley split features with shuffled control,experiments/team_a_current/exp_052_channel_shapley_split.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-053,baseline_to_change,search residual signals and gated corrections,experiments/team_a_current/exp_053_residual_signal_discovery.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-054,baseline_to_change,burst/gap features for ETX residual probe,experiments/team_a_current/exp_054_burst_gap_etx.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-055,baseline_to_change,landmark/memory features for residual correction,experiments/team_a_current/exp_055_landmark_memory_etx.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-057,baseline_to_change,state-matched reweight versus shuffled state control,experiments/team_a_current/exp_057_production_state_reweight.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-058,baseline_to_change,real dataset-fingerprint features versus permuted control,experiments/team_a_current/exp_058_dataset_fingerprint.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-059,baseline_to_change,increase fixed sequence-slot weight to 0.65 using existing predictions,experiments/team_a_current/exp_059_seq65_temporal_heavy.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-061,baseline_to_change,14 open-funnel features/residual probes,experiments/team_a_current/exp_061_open_funnel.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-062,baseline_to_change,platform-effect detrending residual,experiments/team_a_current/exp_062_platform_detrend.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-063,baseline_to_change,reinsert existing E11 occurrence component under nested and fixed weights,experiments/team_a_current/exp_063_occurrence_revisit.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-064,baseline_to_change,15 event-order features/residual probe,experiments/team_a_current/exp_064_event_order.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-037,team_a_current:EXP-065,baseline_to_change,freeze two existing candidates: strongest and BTYD05 fixed blend,experiments/team_a_current/exp_065_final_integration.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-039,submission:BLOCK4_SAF_submission.csv),produced_or_described_submission,unknown,experiments/team_a_current/exp_039_block4_saf.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-040,submission:submission_FRESH_CONTRAST_MOE.csv),produced_or_described_submission,unknown,experiments/team_a_current/exp_040_fresh_contrast_moe.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-041,submission:submission_RIDGE15.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_041_ridge15.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-042,submission:submission_ZERO2D_SHRINK.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_042_zero2d_shrink.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-047,team_a_current:EXP-050,baseline_to_change,attempt exact productionization of FRESH and BG/NBD branches,experiments/team_a_current/exp_050_btyd05_production_resolution.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-047,team_a_current:EXP-051,numerical_oof_replay_with_distinct_production_artifacts,stabilize BG/NBD optimization and use fixed 0.05 residual blend,experiments/team_a_current/exp_051_btyd_stable_production.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-051,submission:submission_BTYD05.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_051_btyd_stable_production.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-059,submission:submission_SEQ65_TEMPORAL_HEAVY.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_059_seq65_temporal_heavy.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-060,submission:submission_LEVEL_MINUS_006.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_060_level_minus_006.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-065,submission:submission_BTYD05.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_065_final_integration.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-065,submission:submission_STRONGEST_CURRENT.csv,produced_or_described_submission,unknown,experiments/team_a_current/exp_065_final_integration.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-067,submission:hash recorded in report; not a new upload,produced_or_described_submission,unknown,experiments/team_a_current/exp_067_authoritative_latest_integration.md,machine_artifact_or_run_metric_plus_primary_report
team_a_current:EXP-068,submission:historical CSV exists; SHA prefix 9596 recorded,produced_or_described_submission,unknown,experiments/team_a_current/exp_068_recency_ridge_predictions.md,machine_artifact_or_run_metric_plus_primary_report
team_a_s2:EXP-012,submission:submission_strategy_2.csv; copied artifact exists with SHA256 cab04e8c...,produced_or_described_submission,unknown,experiments/team_a_s2/exp_012_s2_best_submission.md,tier2_machine+experiment_manifest+submission_artifact; LB not platform-independently verified
team_b_alt:EXP-001,team_b_alt:EXP-002,baseline_to_change,"add conversion, AOV and GMV-share ratio features",experiments/team_b_alt/exp_002_conversions.md,primary_report_only
team_b_alt:EXP-001,team_b_alt:EXP-003,baseline_to_change,add recent-vs-previous trend ratios,experiments/team_b_alt/exp_003_trends.md,primary_report_only
team_b_alt:EXP-001,team_b_alt:EXP-004,baseline_to_change,add days-since-last action features,experiments/team_b_alt/exp_004_recency.md,primary_report_only
team_b_alt:EXP-001,team_b_alt:EXP-005,baseline_to_change,multiply predictions by fixed scale grid,experiments/team_b_alt/exp_005_scale_calibration.md,primary_report_only
team_b_alt:EXP-001,team_b_alt:EXP-006,baseline_to_change,replace HGBR with LightGBM on baseline features,experiments/team_b_alt/exp_006_lightgbm.md,primary_report_only
team_b_alt:EXP-001,team_b_alt:EXP-007,baseline_to_change,evaluate unchanged HGBR baseline on four out-of-time folds,experiments/team_b_alt/exp_007_multi_cutoff_cv.md,primary_report_only
team_b_alt:EXP-001,team_b_alt:EXP-008,baseline_to_change,"combine recency features, LightGBM and post-scale0.64",experiments/team_b_alt/exp_008_recency_lightgbm_scale.md,primary_report_only; rounded LB
team_b_alt:EXP-002,submission:exp_002_conversions_hgbr.csv; absent from specified evidence roots,produced_or_described_submission,unknown,experiments/team_b_alt/exp_002_conversions.md,primary_report_only
team_b_alt:EXP-004,team_b_alt:EXP-008,baseline_to_change,"combine recency features, LightGBM and post-scale0.64",experiments/team_b_alt/exp_008_recency_lightgbm_scale.md,primary_report_only; rounded LB
team_b_alt:EXP-008,submission:exp_008_recency_lightgbm_scale064.csv; absent from specified evidence roots,produced_or_described_submission,unknown,experiments/team_b_alt/exp_008_recency_lightgbm_scale.md,primary_report_only; rounded LB
team_b_alt:EXP-008,team_b_alt:EXP-009,baseline_to_change,blend recency and long-buy LightGBM components 50/50 in log space,experiments/team_b_alt/exp_009_long_buy_ensemble.md,primary_report_only; exact LB but artifact/platform unverified
team_b_alt:EXP-009,submission:exp_009_recency_long_buy_lgbm_logens.csv; absent,produced_or_described_submission,unknown,experiments/team_b_alt/exp_009_long_buy_ensemble.md,primary_report_only; exact LB but artifact/platform unverified
team_b_alt:EXP-009,team_b_alt:EXP-010,baseline_to_change,sweep recency weight0.30..0.70 and global scale0.94..1.06,experiments/team_b_alt/exp_010_ensemble_tuning.md,primary_report_only
team_b_alt:EXP-009,team_b_alt:EXP-011,baseline_to_change,weekly dense8 training on earlier clean period plus scale sweep,experiments/team_b_alt/exp_011_dense_clean_ensemble.md,primary_report_only; exact LB values not artifact/platform backed
team_b_alt:EXP-010,submission:exp_010_logens_wrec055_scale100.csv,produced_or_described_submission,unknown,experiments/team_b_alt/exp_010_ensemble_tuning.md,primary_report_only
team_b_alt:EXP-010,submission:exp_010_logens_wrec055_scale101.csv,produced_or_described_submission,unknown,experiments/team_b_alt/exp_010_ensemble_tuning.md,primary_report_only
team_b_alt:EXP-011,submission:exp_011_dense8_logens.csv generic output named; exact scale CSVs absent,produced_or_described_submission,unknown,experiments/team_b_alt/exp_011_dense_clean_ensemble.md,primary_report_only; exact LB values not artifact/platform backed
team_b_alt:EXP-011,team_b_alt:EXP-012,baseline_to_change,score scales1.0/1.2/1.4 on two main-style folds,experiments/team_b_alt/exp_012_lb_validation_alignment.md,primary_report_only; LB reused
team_b_alt:EXP-011,team_b_alt:EXP-013,baseline_to_change,fine global-scale grid1.10..1.35 on two folds,experiments/team_b_alt/exp_013_scale_grid_main_validation.md,primary_report_only; LB exact but unbacked
team_b_alt:EXP-011,team_b_alt:EXP-014,baseline_to_change,hard-zero ensemble predictions below classifier probability thresholds,experiments/team_b_alt/exp_014_classifier_gate.md,primary_report_only
team_b_alt:EXP-011,team_b_alt:EXP-015,baseline_to_change,sweep recency weight under fixed scale1.2 on two folds,experiments/team_b_alt/exp_015_ensemble_weight_grid.md,primary_report_only; candidate LB qualitative only
team_b_alt:EXP-011,team_b_alt:EXP-016,baseline_to_change,add activity-after-last-order features to long-buy component,experiments/team_b_alt/exp_016_post_order_activity.md,primary_report_only; exact LB unbacked
team_b_alt:EXP-012,submission:none new,produced_or_described_submission,unknown,experiments/team_b_alt/exp_012_lb_validation_alignment.md,primary_report_only; LB reused
team_b_alt:EXP-013,submission:scale candidate files not named exactly; absent,produced_or_described_submission,unknown,experiments/team_b_alt/exp_013_scale_grid_main_validation.md,primary_report_only; LB exact but unbacked
team_b_alt:EXP-015,submission:exp_015_dense8_logens_wrec0525_scale120.csv; absent,produced_or_described_submission,unknown,experiments/team_b_alt/exp_015_ensemble_weight_grid.md,primary_report_only; candidate LB qualitative only
team_b_alt:EXP-016,submission:exp_016_post_order_wrec050_scale120.csv; absent,produced_or_described_submission,unknown,experiments/team_b_alt/exp_016_post_order_activity.md,primary_report_only; exact LB unbacked
team_b_alt:EXP-016,team_b_alt:EXP-017,baseline_to_change,replace long-buy-post-order direct head with 16-bin distribution head,experiments/team_b_alt/exp_017_dist_head_post_order.md,primary_report_only; exact LB unbacked
team_b_alt:EXP-017,submission:exp_017_dist_post_order_wrec050_scale120.csv; absent,produced_or_described_submission,unknown,experiments/team_b_alt/exp_017_dist_head_post_order.md,primary_report_only; exact LB unbacked
team_b_core:EXP-001,submission:three unnamed CSVs reported; not sent; artifacts absent from specified evidence roots,produced_or_described_submission,unknown,experiments/team_b_core/exp_001_baseline_lgbm50.md,primary_report_only
team_b_core:EXP-001,team_b_core:EXP-002,baseline_to_change,add same-period-last-year and holiday-window features,experiments/team_b_core/exp_002_sply.md,primary_report_only
team_b_core:EXP-001,team_b_core:EXP-003,baseline_to_change,add cutoff day/year/holiday-distance features,experiments/team_b_core/exp_003_calendar.md,primary_report_only
team_b_core:EXP-001,team_b_core:EXP-004,baseline_to_change,add EWM7/EWM14 GMV and EWM7 orders,experiments/team_b_core/exp_004_ewm.md,primary_report_only
team_b_core:EXP-001,team_b_core:EXP-005,baseline_to_change,concatenate 8 train cutoffs at 14-day spacing,experiments/team_b_core/exp_005_multicutoff.md,primary_report_only corroborated by semantic rerun report
team_b_core:EXP-001,team_b_core:EXP-006,baseline_to_change,classifier times positive-only raw-value regressor,experiments/team_b_core/exp_006_hurdle.md,primary_report_only
team_b_core:EXP-001,team_b_core:EXP-007,baseline_to_change,replace log-target regression with Tweedie raw-target objective,experiments/team_b_core/exp_007_tweedie.md,primary_report_only
team_b_core:EXP-001,team_b_core:EXP-008,baseline_to_change,replace regression objective with Huber on log1p target,experiments/team_b_core/exp_008_huber.md,primary_report_only
team_b_core:EXP-001,team_b_core:EXP-009,baseline_to_change,add search/catalog split aggregates and conversion,experiments/team_b_core/exp_009_search_catalog.md,primary_report_only
team_b_core:EXP-001,team_b_core:EXP-010,baseline_to_change,add AOV and purchase-intensity ratios,experiments/team_b_core/exp_010_aov_intensity.md,primary_report_only
team_b_core:EXP-001,team_b_core:EXP-011,baseline_to_change,add recent/previous ratio trends,experiments/team_b_core/exp_011_trends.md,primary_report_only
team_b_core:EXP-001,team_b_core:EXP-012,baseline_to_change,clip train target at fold q0.999 before log1p,experiments/team_b_core/exp_012_clip_target.md,primary_report_only
team_b_core:EXP-001,team_b_core:EXP-013,baseline_to_change,log-average seeds42-46,experiments/team_b_core/exp_013_seed_bagging.md,primary_report_only
team_b_core:EXP-001,team_b_core:EXP-014,baseline_to_change,blend baseline with leaves31/feature_fraction0.6 LGBM,experiments/team_b_core/exp_014_second_lgbm_blend.md,primary_report_only
team_b_core:EXP-001,team_b_core:EXP-015,baseline_to_change,apply fixed log-space delta -0.17,experiments/team_b_core/exp_015_calibration_shift.md,local and LB primary_report_only; LB rounded
team_b_core:EXP-001,team_b_core:EXP-028,baseline_to_change,correct hurdle composition in log space and threshold P(y>0),experiments/team_b_core/exp_028_hurdle_log_threshold.md,primary_report_only
team_b_core:EXP-001,team_b_core:EXP-029,baseline_to_change,add var_predictability feature to log-space hurdle,experiments/team_b_core/exp_029_variance_predictability_hurdle.md,primary_report_only; LB exact but not artifact/platform backed
team_b_core:EXP-001,team_b_core:EXP-031,baseline_to_change,replay EXP-005 at delta0 with same 50 features,experiments/team_b_core/exp_031_multicutoff.md,primary_report_only; exact numeric corroboration of EXP-005
team_b_core:EXP-001,team_b_core:EXP-032,baseline_to_change,predict correction to log1p(w30_gmv+1),experiments/team_b_core/exp_032_delta_model.md,primary_report_only with one missing fold value
team_b_core:EXP-005,team_b_core:EXP-031,exact_replay,replay EXP-005 at delta0 with same 50 features,experiments/team_b_core/exp_031_multicutoff.md,primary_report_only; exact numeric corroboration of EXP-005
team_b_core:EXP-015,submission:unnamed submission; absent from specified evidence roots,produced_or_described_submission,unknown,experiments/team_b_core/exp_015_calibration_shift.md,local and LB primary_report_only; LB rounded
team_b_core:EXP-015,team_b_core:EXP-016,baseline_to_change,num_leaves63 to31,experiments/team_b_core/exp_016_num_leaves31.md,primary_report_only
team_b_core:EXP-015,team_b_core:EXP-017,baseline_to_change,min_data_in_leaf100 to50,experiments/team_b_core/exp_017_min_leaf50.md,primary_report_only
team_b_core:EXP-015,team_b_core:EXP-018,baseline_to_change,min_data_in_leaf100 to300,experiments/team_b_core/exp_018_min_leaf300.md,primary_report_only
team_b_core:EXP-015,team_b_core:EXP-019,baseline_to_change,num_leaves63 to127,experiments/team_b_core/exp_019_num_leaves127.md,primary_report_only
team_b_core:EXP-015,team_b_core:EXP-020,baseline_to_change,learning_rate0.05 to0.03,experiments/team_b_core/exp_020_lr003.md,primary_report_only
team_b_core:EXP-015,team_b_core:EXP-021,baseline_to_change,lr0.03+leaves31+minleaf50 combination,experiments/team_b_core/exp_021_g15_combo.md,primary_report_only
team_b_core:EXP-015,team_b_core:EXP-022,baseline_to_change,feed in-sample P(y>0) as feature to direct regressor,experiments/team_b_core/exp_022_classifier_feature.md,primary_report_only
team_b_core:EXP-015,team_b_core:EXP-023,baseline_to_change,blend calibrated LightGBM with CatBoost in log space,experiments/team_b_core/exp_023_catboost_blend.md,primary_report_only
team_b_core:EXP-015,team_b_core:EXP-024,baseline_to_change,"segmented calibration, naive/XGBoost blends, low-prediction thresholds",experiments/team_b_core/exp_024_post_g14_diagnostics.md,primary_report_only
team_b_core:EXP-015,team_b_core:EXP-025,baseline_to_change,add search-cart-order funnel rates and success-day features,experiments/team_b_core/exp_025_funnel.md,primary_report_only
team_b_core:EXP-015,team_b_core:EXP-026,baseline_to_change,add last7-vs-prev7 GMV/orders/cart/search/presence trends,experiments/team_b_core/exp_026_activity_trend.md,primary_report_only
team_b_core:EXP-015,team_b_core:EXP-028,baseline_to_change,correct hurdle composition in log space and threshold P(y>0),experiments/team_b_core/exp_028_hurdle_log_threshold.md,primary_report_only
team_b_core:EXP-015,team_b_core:EXP-029,baseline_to_change,add var_predictability feature to log-space hurdle,experiments/team_b_core/exp_029_variance_predictability_hurdle.md,primary_report_only; LB exact but not artifact/platform backed
team_b_core:EXP-028,team_b_core:EXP-029,baseline_to_change,add var_predictability feature to log-space hurdle,experiments/team_b_core/exp_029_variance_predictability_hurdle.md,primary_report_only; LB exact but not artifact/platform backed
team_b_core:EXP-029,submission:E_hurdle_variance_exp029.csv named by EXP-030; absent from specified evidence roots,produced_or_described_submission,unknown,experiments/team_b_core/exp_029_variance_predictability_hurdle.md,primary_report_only; LB exact but not artifact/platform backed
team_b_core:EXP-029,team_b_core:EXP-030,baseline_to_change,multiply test predictions by season coefficients1.1678 and1.12,experiments/team_b_core/exp_030_submit_season_yoy_coefficient.md,primary_report_only; exact LB values not artifact/platform backed
team_b_core:EXP-030,submission:F_hurdle_variance_exp029_season_yoy_1_168.csv,produced_or_described_submission,unknown,experiments/team_b_core/exp_030_submit_season_yoy_coefficient.md,primary_report_only; exact LB values not artifact/platform backed
team_b_core:EXP-030,submission:G_hurdle_variance_exp029_season_1_12.csv,produced_or_described_submission,unknown,experiments/team_b_core/exp_030_submit_season_yoy_coefficient.md,primary_report_only; exact LB values not artifact/platform backed
team_b_core:EXP-033,submission:H_multicutoff_spring_exp033.csv; absent from evidence roots,produced_or_described_submission,unknown,experiments/team_b_core/exp_033_spring_submit.md,primary_report_only; rounded LB
teammate_review:TM-RUN-EXTRA90-20260823,submission:4,produced_or_described_submission,unknown,evidence/teammate_records.jsonl#TM-RUN-EXTRA90-20260823,run_manifest_and_runtime_artifact
teammate_review:TM-RUN-FINAL6H-20260823,submission:2,produced_or_described_submission,unknown,evidence/teammate_records.jsonl#TM-RUN-FINAL6H-20260823,run_manifest_and_runtime_artifact
teammate_review:TM-RUN-FIXEDSTACK-20260823,submission:4,produced_or_described_submission,unknown,evidence/teammate_records.jsonl#TM-RUN-FIXEDSTACK-20260823,run_manifest_and_runtime_artifact
